,date,Tickers,company,L_term_rating,L_term_numrating,Debt/EBITDA,FFO/Total debt,EBITDA/Interest,FFO/Interest,CFO/Debt,FFO/Net profit,NWC/Revenue,Current Assets/Current Liabilities,(FFo+Cash)/Current Liabilities,EBITDA/Revenues,Cash/Total Debt,Total Debt/Tangible Net worth,Total Debt/Revenue,Debt/Capital,Cash/Asset,Total Fixed Capital/Total Fixed Assets,Equity/Asset,NWC/Total assets,Retained earnings/Total assets,EBITDA/Total assets etc
2009/12/31,2009/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,-0.0329,0.07837633870653178,297.47222222222223,256.75,2.9607,9243.0,0.03962250018725189,1.0609669426249977,0.38293540270067805,0.13368536688887225,0.09067166393908302,1.0220032584581253,1.4721868524205428,37.15532451165721,0.045829172434779256,58.216569653422944,0.4945590447576964,0.013603459581781479,1.1635200987472303,0.04589774690021987
2010/12/31,2010/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,0.131,0.09023499809785691,141.48181818181817,122.9090909090909,3.2245,13520.0,-0.03905681380314253,0.9417399773282455,0.3407947886896684,0.16657747142184356,0.05222550740500964,0.9813464851092816,1.6037055272509313,-41.06083858591395,0.025866913490463127,65.1246985275634,0.5047072824038875,-0.012062411159961654,0.9721199299196721,0.05144623318237414
2011/12/31,2011/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,0.0627,0.07912135660098175,206.54666666666665,179.66666666666666,3.2493,13475.0,-0.04228302255653097,0.9413973292045674,0.3372556609251016,0.14421098688313985,0.07435939591798389,1.0594983327527,1.5854550870888762,-37.49625715543813,0.03825380906927008,65.50568721836572,0.4855551393738748,-0.013719898988678515,0.97210105965226,0.046793253023694165
2012/12/31,2012/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,0.0304,0.08671785857464459,147.59459459459458,126.66666666666667,4.6474,14060.0,0.0031653995207525957,1.005004755297089,0.3686056845289138,0.16155370825074697,0.059098899065593485,0.9445124082488641,1.5988225897109725,505.0934579439252,0.028706241855030783,65.80152307641566,0.514267739181234,0.0009616680896957714,1.0591620605461436,0.04908102278344493
2014/12/31,2014/12/31,XOM,EXXON MOBIL CORP,AAA,11.0,0.4769,0.06547566036727642,146.47058823529412,162.1764705882353,1.5493000000000001,11028.0,-0.15159313091605028,0.8186220661272106,0.24204353813067628,0.13090622330288493,0.02740620676961806,0.9302180444483719,2.2136952093053823,-14.36739742386761,0.01320770373083295,66.38097742715242,0.5180761846446138,-0.03354287496459157,1.1142626604824704,0.028498424861156016
2009/12/31,2009/12/31,CVX,CHEVRON CORP,AA,9.0,0.064,0.08640022203719123,99.86075949367088,78.81012658227849,1.8426,6226.0,0.24185750076919696,1.419861890046164,0.5700660028232422,0.17337699441782778,0.12095475992228698,0.8193943804509739,1.583666652015296,6.547932757837347,0.05294585745439525,67.66494195540874,0.562267268452992,0.06685052332326981,0.6194106462723468,0.04792219704654935
2010/03/31,2010/03/31,CVX,CHEVRON CORP,AA,9.0,0.0948,0.10474753018660812,122.55263157894737,100.44736842105263,2.3578,7634.0,0.29685016454364327,1.4810273525357325,0.5445113545672204,0.20851149566813673,0.10120746432491767,0.7970776735131352,1.6315565604781839,5.496229260935143,0.04366253877299742,66.7298867197633,0.5685838088698412,0.07849312149267161,0.623120545544953,0.0551346103757725
2010/06/30,2010/06/30,CVX,CHEVRON CORP,AA,9.0,0.029,0.11965572738086908,129.4935064935065,111.03896103896103,2.7504,8550.0,0.33533265097236437,1.6297235997385922,0.6898858263176104,0.20411463664278404,0.13149534672171295,0.7468669321543173,1.4627430910951893,4.362065807948233,0.05470869772804025,65.9851685510529,0.5839495534102687,0.09537922280577131,0.636579600107135,0.05805666507516914
2010/09/30,2010/09/30,CVX,CHEVRON CORP,AA,9.0,-0.0122,0.09657299889538487,115.43037974683544,90.74683544303798,2.8366,7169.0,0.38025101354265506,1.6567225325884545,0.6764990689013035,0.19664883981713102,0.14811272462752917,0.7548171271111472,1.6008367118088502,4.209947257982193,0.06204888289437299,65.66589458804204,0.5810698705974638,0.0995095909119126,0.6311773768474992,0.051461915699298526
2010/12/31,2010/12/31,CVX,CHEVRON CORP,AA,9.0,-0.0713,0.11061577040958484,118.04705882352941,102.75294117647059,2.7326,8734.0,0.39884544211119155,1.683475803115952,0.785674893147663,0.20182637380320217,0.1780693533270853,0.7802636519951776,1.588180867326414,3.9819456351807956,0.07609501593882091,65.5495263879981,0.5726664104909374,0.10731778599223896,0.6233459075927239,0.0543056465099665
